User,Screen_Name,Date,Tweet,Retweet,Favorite
1180594183,AIESECatUCT,2015-07-22 20:20:11,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
13373392,ValiaReinsalu,2015-07-22 20:19:53,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
200448202,meg_e_r,2015-07-22 20:19:49,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
200448202,meg_e_r,2015-07-22 20:19:42,"Individuals may only have control over consumption phase, but for god's sake, let's start taking control! #foodwaste https://t.co/TSr4rTs0NU",0,1
3311911966,littlecatcafe,2015-07-22 20:18:54,Educational booklet re food issues that affect us all @myattsfields  #foodwaste  http://t.co/BdleFctNiD,0,1
188808739,beanstalkfdn,2015-07-22 20:18:22,"Help @WeDontWaste​ replace their broken truck so they can continue their mission to end #foodwaste &amp; #hunger. 
https://t.co/GeuC6djmf2",0,1
1022721666,NFESH1,2015-07-22 20:16:05,Reducing #FoodWaste in senior centers means serving more seniors in need. #WhatAWaste is the solution http://t.co/fLWBPwVoz6,1,1
3035354572,AmbientologaWeb,2015-07-22 20:15:09,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
74962376,satyavrata9,2015-07-22 20:15:07,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
146447600,madamfiesta,2015-07-22 20:13:52,RT @ZeroHunger: How cutting #foodwaste could help the climate | Zero Hunger Challenge http://t.co/XKPe6NtG8Q #zerowaste #zerohunger http://…,13,0
2325945120,jetameribrit,2015-07-22 20:12:02,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
2998817483,HazelTechUSA,2015-07-22 20:11:50,"New preview video from the media team for #FruitBrite prototype - check it out!
https://t.co/l2BurVLZL6 …

#innovation #foodwaste #3Dprinter",3,2
2638015991,CambetteD,2015-07-22 20:10:50,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
1564050302,SvesGore,2015-07-22 20:10:42,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
3056972713,VeRvE_lOvE_mE,2015-07-22 20:10:12,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
199535637,andrebloom,2015-07-22 20:09:40,Important for so many reasons #johnoliver #foodwaste #climatechange #drought https://t.co/SCDslJfIqI via @YouTube,0,1
1027267898,doreMiNaSo,2015-07-22 20:09:35,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
606397219,ChamitaLissa,2015-07-22 20:09:33,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
1484766883,NyaswabuObed,2015-07-22 20:08:50,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
2614487347,fayaz_shadman,2015-07-22 20:08:43,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
19870134,baveshmoorthy,2015-07-22 20:08:38,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
406949417,EmmaMarsh5,2015-07-22 20:07:49,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
3343086755,land28scape,2015-07-22 20:07:07,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
215849042,Warwick_Long,2015-07-22 20:06:50,RT @FAOKnowledge: #DYK Every yr around the globe 1.3B tonnes of food is lost or wasted? Infographic: http://t.co/lnQb8skbvt #foodwaste http…,55,0
397910280,IfhamNizam,2015-07-22 20:06:43,RT @UNEP: #Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,0
357971706,leah_galvin,2015-07-22 20:06:18,RT @FAOKnowledge: #DYK Every yr around the globe 1.3B tonnes of food is lost or wasted? Infographic: http://t.co/lnQb8skbvt #foodwaste http…,55,0
1493770075,paulhatherell,2015-07-22 20:06:03,"RT @foodcycle: New app from @LFHW_UK helps track, reduce &amp; avoid #foodwaste. Download it now to start saving! http://t.co/Bsz1hs9Oot http:/…",5,0
38146999,UNEP,2015-07-22 20:05:45,#Infographic - Fruits &amp; vegetables: global losses or waste. from @save_food_news #SaveFood #foodwaste http://t.co/mOp96wub7s,49,31
131873249,businessforfood,2015-07-22 20:04:00,[MUST WATCH] @iamJohnOliver on #foodwaste in America http://t.co/8gUP58Dl4w 1.5 million views in 3 days w/ @HarvardFLPC #foodsystem #foodEd,1,0
715579007,MargoESBrown,2015-07-22 20:03:16,RT @AriCitak: Who you callin' ugly? Join the campaign to end #FoodWaste now! http://t.co/1tOQvc3XGX #landfill #uglyfruit http://t.co/Apmx7j…,1,0
326813935,SCJGreenChoices,2015-07-22 20:03:05,Have you ever stopped to think about #foodwaste? http://t.co/6JLszDXUPB via @mothernaturenet,0,3
1657967312,peanut22j,2015-07-22 20:00:01,RT @MichaelMossC: Garbage Stock recipe: Take veg scraps saved in freezer + simmer 20 minutes + strain. Courtesy @eveheyn #foodwaste http://…,9,0
